scene_id,chapter_id,avg_dialogue_score_percent,vote_rate
263,-1,0.00,0.000
264,1,100.00,1.000
265,1,100.00,1.000
266,1,66.92,1.000
267,1,53.62,1.000
268,1,100.00,1.000
269,1,64.84,1.000
270,1,62.96,1.000
271,1,71.83,1.000
272,1,100.00,1.000
273,1,70.35,1.000
274,1,47.50,1.000
275,1,58.46,1.000
276,1,54.85,1.000
277,1,100.00,1.000
278,1,47.03,1.000
279,1,61.09,1.000
280,1,100.00,1.000
281,1,100.00,1.000
282,1,57.93,1.000
283,1,58.80,1.000
284,1,58.12,1.000
285,1,100.00,1.000
286,1,69.04,1.000
287,1,100.00,1.000
288,1,100.00,1.000
289,1,62.89,1.000
290,1,45.41,1.000
291,1,68.97,1.000
292,1,51.85,1.000
293,1,100.00,1.000
294,1,62.84,1.000
295,1,100.00,1.000
296,1,76.19,1.000
297,1,100.00,1.000
298,1,100.00,1.000
299,1,47.69,1.000
300,1,100.00,1.000
301,1,100.00,1.000
302,1,45.16,1.000
303,1,47.06,1.000
304,1,100.00,1.000
305,1,60.96,1.000
306,1,100.00,1.000
307,1,80.00,1.000
308,1,100.00,1.000
309,1,49.14,1.000
310,1,100.00,1.000
311,1,51.28,1.000
312,1,100.00,1.000
313,1,100.00,1.000
314,1,100.00,1.000
315,-1,0.00,0.000
316,1,61.84,1.000
317,1,100.00,1.000
318,1,100.00,1.000
319,1,44.68,1.000
320,1,54.45,1.000
321,1,100.00,1.000
322,1,66.00,1.000
323,1,64.29,1.000
324,1,100.00,1.000
325,1,100.00,1.000
326,1,100.00,1.000
327,1,100.00,1.000
328,1,48.90,1.000
329,1,56.20,1.000
330,1,100.00,1.000
331,1,100.00,1.000
332,1,100.00,1.000
333,1,100.00,1.000
334,-1,0.00,0.000
335,1,100.00,1.000
336,-1,0.00,0.000
337,1,100.00,1.000
338,1,53.93,1.000
339,1,100.00,1.000
340,-1,0.00,0.000
341,1,100.00,1.000
342,1,73.80,1.000
343,1,74.42,1.000
344,1,77.18,1.000
345,1,71.28,1.000
346,1,87.50,1.000
347,1,100.00,1.000
348,1,80.00,1.000
349,1,70.95,1.000
350,1,100.00,1.000
351,1,72.65,1.000
352,1,100.00,1.000
353,1,100.00,1.000
354,1,74.14,1.000
355,1,100.00,1.000
356,1,100.00,1.000
357,1,85.71,1.000
358,1,100.00,1.000
359,1,51.57,1.000
360,1,100.00,1.000
361,1,100.00,1.000
